#,Token,Price,Change (%),Volume (24H),Market Cap,Holders,dt,date
145,BLZ,$0.06 ,9.67%,"$5,233,756 ","$14,873,306 ","25,399 0.016%",35:01.4,12/25/20
146,DUSK,$0.05 ,7.31%,"$707,608 ","$14,735,102 ","14,546 0.034%",35:01.4,12/25/20
147,MDT,$0.02 ,10.63%,"$666,995 ","$14,472,599 ","25,126 0.000%",35:01.4,12/25/20
148,SAI,$3.24 ,7.67%,"$7,357 ","$14,450,146 ","178,737 -0.003%",35:01.4,12/25/20
149,DF,$0.12 ,7.22%,"$2,468,820 ","$14,260,190 ","1,452 0.069%",35:01.4,12/25/20
150,CRPT,$0.17 ,-13.32%,"$350,433 ","$14,066,293 ",876 0.457%,35:01.4,12/25/20
151,PROM,$2.28 ,3.63%,"$1,041,450 ","$13,959,312 ","1,738 0.000%",35:01.4,12/25/20
152,FX,$0.05870.0000023949,11.62%,"$95,454 ","$13,477,111 ","4,330 0.000%",35:01.4,12/25/20
153,NAS,$0.29 ,6.79%,"$2,730,634 ","$13,116,716 ","14,579 0.000%",35:01.4,12/25/20
154,DRGN,$0.05 ,6.65%,"$60,225 ","$13,068,110 ","40,330 0.010%",35:01.4,12/25/20
155,QRL,$0.18 ,25.27%,"$3,993 ","$12,892,187 ","2,505 0.000%",35:01.4,12/25/20
156,MEDX,$0.00370.0000003981,-1.76%,"$124,540 ","$12,823,655 ","2,817 0.000%",35:01.4,12/25/20
157,QNTU,$0.00 ,--,$12 ,"$12,533,102 ","9,864 0.010%",35:01.4,12/25/20
158,MET,$1.12 ,7.81%,"$421,394 ","$12,350,147 ","3,771 0.027%",35:01.4,12/25/20
159,B2BX,$0.75 ,0.13%,$625 ,"$12,237,332 ","10,335 0.000%",35:01.4,12/25/20
160,XET,$0.19610.00003066,10.97%,"$414,834 ","$11,852,861 ","9,031 0.000%",35:01.4,12/25/20
161,MTA,$0.89 ,0.23%,"$6,050,127 ","$11,690,960 ","4,792 0.042%",35:01.4,12/25/20
162,AST,$0.07 ,7.31%,"$621,278 ","$11,665,780 ","10,672 0.037%",35:01.4,12/25/20
163,AWC,$1.09050.0000445092,9.52%,"$29,130 ","$11,563,525 ","42,731 0.002%",35:01.4,12/25/20
164,SRN,$0.02 ,9.35%,"$1,670,363 ","$11,558,436 ","19,222 0.005%",35:01.4,12/25/20
165,QASH,$0.03 ,5.03%,"$921,779 ","$11,333,292 ","13,057 0.000%",35:01.4,12/25/20
166,NKN,$0.01910.0000007783,8.07%,"$999,538 ","$11,129,661 ","11,841 0.017%",35:01.4,12/25/20
167,PNT,$0.40 ,1.44%,"$2,119,773 ","$11,063,605 ","8,212 0.000%",35:01.4,12/25/20
168,IQN,$2.15 ,4.26%,"$288,314 ","$11,013,276 ","5,573 0.000%",35:01.4,12/25/20
169,TKN,$0.32 ,7.37%,"$300,284 ","$11,010,776 ","7,128 0.042%",35:01.4,12/25/20
170,RDN,$0.16 ,7.77%,"$747,132 ","$10,892,486 ","14,820 0.007%",35:01.4,12/25/20
171,DOS,$0.08 ,6.43%,"$447,066 ","$10,808,014 ","8,997 0.011%",35:01.4,12/25/20
172,CAS,$0.02 ,9.15%,"$21,482 ","$10,716,235 ","12,539 0.000%",35:01.4,12/25/20
173,KAN,$0.00 ,2.85%,"$631,184 ","$10,413,326 ","53,971 0.002%",35:01.4,12/25/20
174,AERGO,$0.04 ,9.71%,"$819,479 ","$10,403,634 ","4,657 0.043%",35:01.4,12/25/20
175,cBAT,$0.00 ,1.62%,$3 ,"$10,254,351 ","5,940 0.000%",35:01.4,12/25/20
176,FSN,$0.16 ,6.98%,"$1,558,537 ","$10,212,782 ","9,825 0.000%",35:01.4,12/25/20
177,COCOS,$0.00 ,6.09%,"$912,377 ","$10,203,137 ","14,299 0.000%",35:01.4,12/25/20
178,CHR,$0.02 ,4.02%,"$1,936,329 ","$10,077,671 ","7,369 0.000%",35:01.4,12/25/20
179,MDA,$0.51 ,11.09%,"$236,811 ","$10,033,587 ","3,656 0.027%",35:01.4,12/25/20
180,GTO,$0.02 ,4.98%,"$11,476,153 ","$9,953,172 ","115,458 -0.001%",35:01.4,12/25/20
181,LIKE,$0.01 ,1.26%,"$48,791 ","$9,553,681 ","15,332 0.000%",35:01.4,12/25/20
182,BZ,$0.07 ,-0.83%,"$1,884,633 ","$9,474,752 ","1,069 0.000%",35:01.4,12/25/20
183,WTC,$0.32 ,13.86%,"$2,637,244 ","$9,401,360 ","26,240 0.004%",35:01.4,12/25/20
184,COIN,$0.19 ,10.02%,"$488,330 ","$9,172,724 ","3,078 0.000%",35:01.4,12/25/20
185,DMT,$0.18 ,7.87%,"$1,439,430 ","$9,006,980 ","4,913 0.000%",35:01.4,12/25/20
186,SENT,$0.00 ,4.81%,"$19,743 ","$8,824,026 ","2,717 0.037%",35:01.4,12/25/20
187,AOG,$0.11560.0000047177,7.15%,"$90,358 ","$8,528,211 ",977 0.000%,35:01.4,12/25/20
188,PLU,$4.52 ,5.80%,"$488,126 ","$8,372,304 ","6,396 0.047%",35:01.4,12/25/20
189,LOC,$0.50 ,0.15%,"$3,595 ","$8,330,054 ","35,086 0.003%",35:01.4,12/25/20
190,DEW,$0.08070.0000097702,--,$0 ,"$8,327,635 ","4,723 0.000%",35:01.4,12/25/20
191,TEL,$0.00 ,-0.68%,"$59,353 ","$8,052,696 ","17,662 0.011%",35:01.4,12/25/20
192,ST,$0.01 ,9.63%,"$1,730,476 ","$7,962,294 ","10,427 0.019%",35:01.4,12/25/20
193,DOCK,$0.01 ,12.31%,"$3,945,544 ","$7,870,194 ","30,552 0.007%",35:01.4,12/25/20
194,AOA,$0.00 ,4.46%,"$706,734 ","$7,689,572 ","101,385 0.000%",35:01.4,12/25/20
195,PAI,$0.01 ,5.91%,"$49,738 ","$7,666,992 ","93,806 0.000%",35:01.4,12/25/20
196,VITE,$0.01 ,5.86%,"$675,019 ","$7,661,576 ","7,596 -0.013%",35:01.4,12/25/20
197,PMA,$0.00 ,24.31%,"$10,781 ","$7,637,521 ","12,166 -0.008%",35:01.4,12/25/20
198,BHPC,$0.83060.0002094464,0.85%,"$1,978,681 ","$7,583,496 ","45,150 0.000%",35:01.4,12/25/20
199,MITx,$0.02 ,11.47%,"$1,218,355 ","$7,530,076 ","111,517 0.000%",35:01.4,12/25/20
200,INSTAR,$0.04 ,-0.35%,$126 ,"$7,478,765 ","12,808 0.000%",35:01.4,12/25/20
201,VERI,$3.47880.0001419874,11.21%,"$2,473 ","$7,478,281 ","22,680 0.009%",35:02.4,12/25/20
202,HAKKA,$0.05 ,6.75%,"$613,910 ","$7,269,454 ","4,353 -0.184%",35:02.4,12/25/20
203,COV,$0.36 ,6.80%,"$81,287 ","$7,195,154 ","7,623 0.000%",35:02.4,12/25/20
204,Dentacoin,$0.00 ,10.97%,"$153,204 ","$7,183,630 ","42,034 0.026%",35:02.4,12/25/20
205,ABT,$0.07 ,6.84%,"$4,339,648 ","$7,117,672 ","17,989 -0.006%",35:02.4,12/25/20
206,BIX,$0.06 ,7.27%,"$2,360,888 ","$7,034,229 ","11,288 0.000%",35:02.4,12/25/20
207,UPP,$0.02 ,5.75%,"$236,632 ","$7,026,480 ","19,090 -0.005%",35:02.4,12/25/20
208,VEE,$0.00 ,12.16%,$901 ,"$6,796,486 ","7,155 0.000%",35:02.4,12/25/20
209,DGTX,$0.01 ,-12.30%,"$2,081,002 ","$6,766,794 ","14,192 0.035%",35:02.4,12/25/20
210,GVT,$1.45 ,8.10%,"$585,958 ","$6,421,947 ","6,644 0.045%",35:02.4,12/25/20
211,GRID,$0.16 ,8.32%,"$85,949 ","$6,361,310 ","3,946 0.000%",35:02.4,12/25/20
212,PAY,$0.05 ,11.84%,"$32,556,661 ","$6,358,685 ","57,428 -0.002%",35:02.4,12/25/20
213,CMT,$0.01 ,9.49%,"$1,234,080 ","$6,333,823 ","22,413 0.000%",35:02.4,12/25/20
214,ARC,$4.29540.00038822,--,$0 ,"$6,328,271 ",188 0.000%,35:02.4,12/25/20
215,XMX,$0.00 ,2.31%,"$422,418 ","$6,284,838 ","145,922 0.000%",35:02.4,12/25/20
216,PRE,$0.02 ,4.10%,"$19,141 ","$6,070,969 ","8,117 -0.074%",35:02.4,12/25/20
217,DSLA,$0.00 ,6.57%,"$245,524 ","$6,040,879 ","2,308 0.433%",35:02.4,12/25/20
218,EVX,$0.27 ,9.93%,"$265,965 ","$5,935,498 ","6,701 0.000%",35:02.4,12/25/20
219,MCB,$2.80 ,2.85%,"$313,253 ","$5,871,566 ","1,137 -0.088%",35:02.4,12/25/20
220,KEY,$0.00 ,11.20%,"$615,176 ","$5,848,210 ","10,020 0.040%",35:02.4,12/25/20
221,LCX,$0.01 ,13.77%,"$507,919 ","$5,837,433 ","3,298 0.061%",35:02.4,12/25/20
222,BAAS,$0.00 ,-8.84%,"$148,674 ","$5,690,435 ","14,458 0.000%",35:02.4,12/25/20
223,TOP,$0.00110.0000000448,5.22%,"$113,783 ","$5,648,026 ","1,038 0.000%",35:02.4,12/25/20
224,REV,$0.01 ,-0.24%,"$7,036,710 ","$5,643,613 ","89,011 0.000%",35:02.4,12/25/20
225,SAN,$0.09 ,0.09%,"$15,947 ","$5,625,217 ","2,363 0.042%",35:02.4,12/25/20
226,RARI,$2.23 ,11.90%,"$1,304,533 ","$5,600,184 ","8,238 -0.036%",35:02.4,12/25/20
227,GEN,$0.12 ,11.39%,"$111,975 ","$5,546,350 ","7,644 0.013%",35:02.4,12/25/20
228,NGC,$0.07 ,4.27%,"$3,462 ","$5,396,536 ","47,715 0.000%",35:02.4,12/25/20
229,FOAM,$0.02 ,-0.23%,"$11,022 ","$5,314,888 ","2,829 0.000%",35:02.4,12/25/20
230,SWFTC,$0.00 ,0.52%,"$1,668,701 ","$5,231,010 ","23,016 0.000%",35:02.4,12/25/20
231,SNTVT,$0.00 ,4.10%,"$128,816 ","$5,226,216 ","5,551 0.072%",35:02.4,12/25/20
232,MOC,$0.02 ,6.15%,"$694,419 ","$5,225,788 ","6,576 0.000%",35:02.4,12/25/20
233,CFI,$0.01600.0000041027,--,$0 ,"$5,214,430 ","4,817 0.021%",35:02.4,12/25/20
234,RUFF,$0.01 ,6.33%,"$393,788 ","$5,202,556 ","51,530 0.002%",35:02.4,12/25/20
235,BMC,$0.03 ,3.76%,"$1,483,153 ","$5,157,841 ","8,551 0.000%",35:02.4,12/25/20
236,TCT,$0.01 ,8.42%,"$1,452,458 ","$5,117,731 ","22,281 0.018%",35:02.4,12/25/20
237,UTNP,$0.00 ,55.75%,"$88,044 ","$5,105,206 ","12,368 0.024%",35:02.4,12/25/20
238,PRO,$0.09 ,7.58%,"$46,856 ","$4,989,565 ","9,175 0.000%",35:02.4,12/25/20
239,BRD,$0.07 ,4.46%,"$106,455 ","$4,918,118 ","24,075 0.046%",35:02.4,12/25/20
240,CBC,$0.02 ,1.81%,"$82,693 ","$4,887,308 ","2,970 0.034%",35:02.4,12/25/20
